"{741.1917114257812, 425.3016052246094}","{897.5966186523438, 534.7033081054688}","{571.349853515625, 655.5117797851562}","{464.78521728515625, 626.1504516601562}","{70.43499755859375, 647.1162109375}"
"{740.6746215820312, 425.6703186035156}","{898.1563720703125, 535.535888671875}","{573.6068725585938, 655.2677612304688}","{465.8746337890625, 626.5072631835938}","{70.33330535888672, 645.7476196289062}"
"{739.263916015625, 426.60943603515625}","{898.8965454101562, 535.6041259765625}","{573.38232421875, 656.093505859375}","{466.2517395019531, 626.5655517578125}","{71.83305358886719, 646.4510498046875}"
"{739.719482421875, 427.34503173828125}","{898.7261962890625, 538.177001953125}","{574.3681030273438, 657.3662109375}","{466.1864929199219, 625.7431640625}","{72.07720947265625, 645.3434448242188}"
"{740.5421752929688, 426.3869323730469}","{899.7926025390625, 538.408203125}","{574.7190551757812, 656.2730712890625}","{465.5928039550781, 626.036376953125}","{70.65592956542969, 645.1864013671875}"
"{741.0352783203125, 423.39276123046875}","{902.2239379882812, 536.6878662109375}","{573.5100708007812, 655.3111572265625}","{470.12811279296875, 625.6589965820312}","{70.47948455810547, 646.1788330078125}"
"{739.0556030273438, 422.72705078125}","{900.4215087890625, 535.5618286132812}","{574.694580078125, 655.07470703125}","{469.2328186035156, 624.9229736328125}","{70.15850830078125, 647.4905395507812}"
"{738.5276489257812, 422.0557556152344}","{900.642578125, 537.3427734375}","{571.5930786132812, 653.718017578125}","{468.3578186035156, 624.9759521484375}","{68.5064697265625, 647.025634765625}"
"{737.3184204101562, 419.3841857910156}","{902.625244140625, 537.0377807617188}","{572.6839599609375, 656.4265747070312}","{467.0934143066406, 624.75244140625}","{71.44126892089844, 646.2863159179688}"
"{737.2754516601562, 418.4059143066406}","{901.3987426757812, 536.785888671875}","{574.2149658203125, 653.9424438476562}","{467.38983154296875, 624.552490234375}","{70.23888397216797, 645.8246459960938}"
"{734.4420166015625, 419.5285339355469}","{900.6845703125, 538.74951171875}","{574.5096435546875, 653.9988403320312}","{464.93902587890625, 626.9955444335938}","{70.76585388183594, 645.3171997070312}"
"{735.4814453125, 418.2818298339844}","{902.140869140625, 539.8140258789062}","{575.1246948242188, 652.5271606445312}","{464.3904724121094, 627.7723388671875}","{69.67692565917969, 646.1365356445312}"
"{736.1399536132812, 417.110595703125}","{903.5201416015625, 538.7061157226562}","{574.024169921875, 654.0838623046875}","{464.88848876953125, 628.1267700195312}","{70.79951477050781, 645.5645751953125}"
"{735.75830078125, 417.18414306640625}","{901.5416259765625, 539.3023071289062}","{572.7172241210938, 654.078369140625}","{465.625244140625, 627.9091796875}","{69.79439544677734, 646.86279296875}"
"{734.32275390625, 417.53240966796875}","{898.3768310546875, 538.7647705078125}","{572.5775146484375, 656.9253540039062}","{468.13653564453125, 627.1387939453125}","{69.32967376708984, 645.9490966796875}"
"{731.8599243164062, 415.7319641113281}","{897.433349609375, 537.8327026367188}","{574.7106323242188, 659.8155517578125}","{468.649169921875, 627.443603515625}","{69.63642883300781, 644.96240234375}"
"{732.2344970703125, 415.3395690917969}","{895.6111450195312, 538.796630859375}","{574.6943969726562, 659.5115966796875}","{469.4392395019531, 625.9678344726562}","{70.46344757080078, 644.8582153320312}"
"{730.5237426757812, 417.9276428222656}","{894.2024536132812, 539.334716796875}","{573.0426025390625, 661.6577758789062}","{470.2188415527344, 624.8223266601562}","{70.91787719726562, 643.8863525390625}"
"{731.7982788085938, 417.77313232421875}","{894.7218017578125, 538.6049194335938}","{572.4647827148438, 662.3756103515625}","{471.86883544921875, 626.4950561523438}","{72.71916198730469, 642.8167724609375}"
"{731.5864868164062, 420.09429931640625}","{896.8467407226562, 538.2955322265625}","{574.8191528320312, 662.5383911132812}","{470.908203125, 626.228759765625}","{73.96273803710938, 643.5205078125}"
"{729.93359375, 424.3824462890625}","{896.546142578125, 539.036865234375}","{573.3418579101562, 662.9976196289062}","{470.4316101074219, 627.0266723632812}","{74.41062927246094, 643.7085571289062}"
"{728.411865234375, 424.8089599609375}","{894.0885620117188, 537.9476928710938}","{573.9447631835938, 664.4784545898438}","{468.3413391113281, 627.1990966796875}","{75.24419403076172, 642.6849975585938}"
"{728.9194946289062, 425.37646484375}","{894.0116577148438, 538.6012573242188}","{574.3432006835938, 662.0167236328125}","{468.55804443359375, 625.354248046875}","{75.49323272705078, 644.7442016601562}"
"{728.8004760742188, 424.61468505859375}","{893.1964111328125, 539.565673828125}","{573.6461791992188, 661.928466796875}","{467.531005859375, 623.9268798828125}","{78.01007080078125, 642.030029296875}"
"{729.1099243164062, 425.04180908203125}","{894.4339599609375, 539.0121459960938}","{573.7991333007812, 661.6284790039062}","{468.5027770996094, 623.6222534179688}","{76.76792907714844, 643.167724609375}"
"{730.4302368164062, 424.26751708984375}","{892.5111694335938, 540.2994995117188}","{572.2947387695312, 660.3876953125}","{469.56549072265625, 625.1161499023438}","{77.8333511352539, 643.060302734375}"
"{730.6388549804688, 421.761474609375}","{891.6106567382812, 542.1592407226562}","{572.239501953125, 659.7147216796875}","{468.77154541015625, 625.7620849609375}","{82.3479232788086, 644.4317626953125}"
"{730.6388549804688, 421.761474609375}","{891.6106567382812, 542.1592407226562}","{572.239501953125, 659.7147216796875}","{468.77154541015625, 625.7620849609375}","{82.3479232788086, 644.4317626953125}"
"{732.327880859375, 422.8492431640625}","{891.3704223632812, 542.4222412109375}","{570.6766357421875, 660.0745849609375}","{467.9702453613281, 625.468505859375}","{82.68965148925781, 644.9707641601562}"
"{730.7259521484375, 421.1769104003906}","{890.0556030273438, 541.8418579101562}","{572.6077270507812, 660.15478515625}","{466.66943359375, 624.6014404296875}","{82.50702667236328, 644.5968627929688}"
"{729.6416015625, 421.0058898925781}","{888.4235229492188, 541.7394409179688}","{572.624755859375, 659.254150390625}","{467.9392395019531, 624.002685546875}","{82.45026397705078, 643.72412109375}"
"{730.3298950195312, 421.0640869140625}","{885.2332153320312, 542.55908203125}","{574.384521484375, 658.905517578125}","{467.6169128417969, 624.237548828125}","{82.53780364990234, 643.1013793945312}"
"{731.0413208007812, 421.4348449707031}","{884.0520629882812, 543.7411499023438}","{573.992919921875, 659.78271484375}","{466.45709228515625, 625.465576171875}","{82.7170639038086, 643.6738891601562}"
"{729.6121826171875, 421.6071472167969}","{882.9356079101562, 545.8132934570312}","{572.9598388671875, 660.2291870117188}","{467.71209716796875, 626.0557861328125}","{82.57389068603516, 643.4107666015625}"
"{730.1337280273438, 423.19500732421875}","{883.560302734375, 544.830810546875}","{572.3798217773438, 658.7564697265625}","{467.5079040527344, 629.18408203125}","{84.22984313964844, 643.752197265625}"
"{729.90576171875, 421.0045166015625}","{885.1724243164062, 541.9581298828125}","{571.1962280273438, 659.6342163085938}","{467.0927429199219, 630.7064208984375}","{81.61668395996094, 644.3106079101562}"
"{729.0164184570312, 419.05145263671875}","{887.5479736328125, 543.0261840820312}","{571.9888916015625, 659.2817993164062}","{465.9803161621094, 631.1317138671875}","{80.82453918457031, 645.0369873046875}"
"{728.8504028320312, 418.3188781738281}","{886.224609375, 543.1578979492188}","{572.530517578125, 659.13916015625}","{465.4462890625, 631.736328125}","{80.21400451660156, 646.0009155273438}"
"{731.0509643554688, 420.173828125}","{885.8677978515625, 541.50830078125}","{572.729736328125, 658.3124389648438}","{464.65618896484375, 633.2112426757812}","{78.36109924316406, 643.9641723632812}"
"{730.0975341796875, 421.07794189453125}","{883.8892822265625, 541.9828491210938}","{574.8546142578125, 658.0401000976562}","{465.4112548828125, 633.2432861328125}","{78.02645874023438, 645.5392456054688}"
"{728.5282592773438, 420.21380615234375}","{884.3226928710938, 541.7182006835938}","{572.7723999023438, 656.5889282226562}","{465.8172607421875, 631.9817504882812}","{77.74015808105469, 644.2994384765625}"
"{727.6801147460938, 419.3876037597656}","{883.6741333007812, 539.7236938476562}","{570.5375366210938, 656.8223266601562}","{466.4835510253906, 632.1893310546875}","{79.91339874267578, 644.7216796875}"
"{727.6801147460938, 419.3876037597656}","{883.6741333007812, 539.7236938476562}","{570.5375366210938, 656.8223266601562}","{466.4835510253906, 632.1893310546875}","{79.91339874267578, 644.7216796875}"
"{727.0217895507812, 419.2671203613281}","{882.6488037109375, 538.2059326171875}","{571.0439453125, 657.9403076171875}","{467.42413330078125, 633.25830078125}","{79.74320220947266, 644.3081665039062}"
"{725.8115844726562, 418.5786437988281}","{880.8535766601562, 537.751708984375}","{569.5147705078125, 660.498291015625}","{468.77630615234375, 634.6016845703125}","{81.00375366210938, 644.2300415039062}"
"{724.35986328125, 420.4106140136719}","{880.6346435546875, 538.029052734375}","{570.4042358398438, 658.2659912109375}","{470.85723876953125, 630.9216918945312}","{81.10943603515625, 640.9794921875}"
"{723.1275634765625, 420.4769592285156}","{878.6061401367188, 538.7527465820312}","{568.9420166015625, 657.6146240234375}","{469.5850524902344, 629.6397705078125}","{80.95317840576172, 641.1785278320312}"
"{722.7535400390625, 419.8249206542969}","{876.6417236328125, 539.3387451171875}","{568.1195678710938, 656.862060546875}","{469.29791259765625, 628.7101440429688}","{80.20489501953125, 642.6567993164062}"
"{720.2401123046875, 420.4207763671875}","{877.928466796875, 538.091796875}","{568.2146606445312, 657.09619140625}","{470.252197265625, 630.330322265625}","{80.6286849975586, 643.712890625}"
"{719.8538208007812, 420.98992919921875}","{876.930908203125, 540.1163330078125}","{566.4154052734375, 659.5943603515625}","{471.6500244140625, 630.196533203125}","{77.7925796508789, 641.1155395507812}"
"{721.0281372070312, 420.7530517578125}","{878.0834350585938, 538.5069580078125}","{567.2925415039062, 656.1607666015625}","{472.19708251953125, 628.9832763671875}","{78.27887725830078, 641.583984375}"
"{720.5314331054688, 422.294921875}","{876.1495361328125, 539.1971435546875}","{568.2855224609375, 655.3966064453125}","{472.1737365722656, 629.260986328125}","{79.95291900634766, 641.9935913085938}"
